Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
264,Enfield,Southgate School,28.1,Community School,Secondary
245,Enfield,Eastfield Primary School,27.9,Community School,Primary
244,Enfield,Chace Community School,27.9,Community School,Secondary
234,Enfield,Grange Park Primary School,27.8,Community School,Primary
216,Enfield,Highlands School,27.6,Community School,Secondary
207,Enfield,Merryhills Primary School,27.5,Community School,Primary
196,Enfield,Lavender Primary School,27.4,Community School,Primary
185,Enfield,Ark John Keats Academy,27.3,Free Schools,All Through
180,Enfield,Chesterfield School,27.1,Community School,Primary
174,Enfield,Prince of Wales Primary School,27,Community School,Primary
147,Enfield,Aylands School,26.6,Community Special School,Not applicable
137,Enfield,Worcesters Primary School,26.5,Community School,Primary
125,Enfield,St John's CofE Primary School,26.4,Voluntary Aided School,Primary
95,Enfield,Oasis Academy Enfield,25.9,Academy Sponsor Led,Secondary
85,Enfield,Keys Meadow School,25.7,Community School,Primary
55,Enfield,Hadley Wood Primary School,25.1,Community School,Primary
54,Enfield,Middlesex University,25.1,Higher Education Institutions,Not applicable
3104,Greenwich,Right Choice Independent Special School,49,Other Independent School,Not applicable
3035,Greenwich,Invicta Primary School,47.3,Community School,Primary
3026,Greenwich,Wize Up,47.1,Other Independent Special School,Not applicable
2948,Greenwich,Haimo Primary School,45.2,Community School,Primary
2872,Greenwich,Greenwich Community College at Plumstead Centre,44.3,Further Education,16 Plus
2846,Greenwich,Rachel McMillan Nursery School and Children's Centre,44,LA Nursery School,Nursery
2787,Greenwich,The Pointer School,43.2,Other Independent School,Not applicable
2731,Greenwich,Meridian Primary School,42.4,Community School,Primary
2703,Greenwich,Blackheath Preparatory School,42,Other Independent School,Not applicable
2702,Greenwich,Bellerbys College London,42,Other Independent School,Not applicable
2672,Greenwich,St Joseph's Catholic Primary School,41.7,Voluntary Aided School,Primary
2555,Greenwich,"University Technical College, Royal Borough of Greenwich",40.7,University Technical College,Secondary
2537,Greenwich,Saint Mary Magdalene Church of England Primary School,40.6,Voluntary Aided School,Primary
2516,Greenwich,St Alfege with St Peter's Church of England Primary School,40.4,Voluntary Aided School,Primary
2502,Greenwich,Pulse and Water College,40.3,Other Independent School,Not applicable
2472,Greenwich,Riverston School,40.1,Other Independent School,Not applicable
2455,Greenwich,Halstow Primary School,40,Community School,Primary
2443,Greenwich,Millennium Primary School,39.9,Community School,Primary
2416,Greenwich,Holy Family Catholic Primary School,39.7,Voluntary Aided School,Primary
2307,Greenwich,Morden Mount Primary School,39,Community School,Primary
2288,Greenwich,Mulgrave Primary School,38.9,Community School,Primary
2275,Greenwich,Sherington Primary School,38.8,Community School,Primary
2206,Greenwich,Our Lady of Grace Catholic Primary School,38.4,Voluntary Aided School,Primary
2173,Greenwich,Robert Owen Early Years Centre,38.2,LA Nursery School,Nursery
2172,Greenwich,James Wolfe Primary School and Centre for the Deaf,38.2,Community School,Primary
2155,Greenwich,Bannockburn Primary School,38.1,Community School,Primary
2154,Greenwich,Christ Church Church of England Primary School,38.1,Voluntary Aided School,Primary
2026,Greenwich,Eltham Church of England Primary School,37.4,Voluntary Aided School,Primary
2005,Greenwich,Ealdham Primary School,37.3,Community School,Primary
1975,Greenwich,Colfes School,37.1,Other Independent School,Not applicable
1974,Greenwich,Trinity Laban,37.1,Higher Education Institutions,Not applicable
1957,Greenwich,StreetVibes Media Academy,37,Other Independent School,Not applicable
1956,Greenwich,The Greenwich Free School,37,Free Schools,Secondary
1926,Greenwich,Blackheath High School,36.8,Other Independent School,Not applicable
1855,Greenwich,Thomas Tallis School,36.4,Community School,Secondary
1823,Greenwich,Harris Academy Greenwich,36.2,Academy Sponsor Led,Secondary
1809,Greenwich,Conway Primary School,36.1,Community School,Primary
1797,Greenwich,Eltham Hill School,36,Community School,Secondary
1781,Greenwich,Ravensbourne,35.9,Higher Education Institutions,Not applicable
1717,Greenwich,Newhaven Pupil Referral Unit,35.6,Pupil Referral Unit,Not applicable
1716,Greenwich,St Ursula's Convent School,35.6,Voluntary Aided School,Secondary
1715,Greenwich,Charlton Park Academy,35.6,Academy Special Converter,Not applicable
1681,Greenwich,Cherry Orchard Primary School,35.4,Community School,Primary
1637,Greenwich,Fossdene Primary School,35.2,Community School,Primary
1636,Greenwich,"Christ Church Church of England Primary School, Shooters Hill",35.2,Voluntary Aided School,Primary
1620,Greenwich,University of Greenwich,35.1,Higher Education Institutions,Not applicable
1601,Greenwich,St Olave's Preparatory School,35,Other Independent School,Not applicable
1568,Greenwich,Nightingale Primary School,34.8,Community School,Primary
1548,Greenwich,Greenwich Steiner School,34.7,Other Independent School,Not applicable
1480,Greenwich,Cardwell Primary School,34.3,Community School,Primary
1463,Greenwich,Wingfield Primary School,34.2,Community School,Primary
1444,Greenwich,Kidbrooke Park Primary School,34.1,Community School,Primary
1443,Greenwich,St Patrick's Catholic Primary School,34.1,Voluntary Aided School,Primary
1442,Greenwich,St Peter's Catholic Primary School,34.1,Voluntary Aided School,Primary
1406,Greenwich,Foxfield Primary School,33.9,Community School,Primary
1383,Greenwich,Moatbridge School,33.8,Community Special School,Not applicable
1362,Greenwich,The John Roan School,33.7,Voluntary Controlled School,Secondary
1306,Greenwich,Linton Mead Primary School,33.5,Community School,Primary
1305,Greenwich,Wildwood Montessori School,33.5,Miscellaneous,Not applicable
1282,Greenwich,Woodhill Primary School,33.4,Community School,Primary
1281,Greenwich,Brooklands Primary School,33.4,Community School,Primary
1280,Greenwich,St Thomas More Catholic Primary School,33.4,Voluntary Aided School,Primary
1255,Greenwich,Charlton Manor Primary School,33.3,Community School,Primary
1237,Greenwich,Henwick Primary School,33.2,Community School,Primary
1236,Greenwich,Horn Park Primary School,33.2,Community School,Primary
1217,Greenwich,Notre Dame Catholic Primary School,33.1,Voluntary Aided School,Primary
1194,Greenwich,Middle Park Primary School,33,Community School,Primary
1193,Greenwich,St Thomas More Catholic Comprehensive School,33,Academy Converter,Secondary
1177,Greenwich,South Rise Primary School,32.9,Community School,Primary
1151,Greenwich,Pound Park Nursery School,32.8,LA Nursery School,Nursery
1150,Greenwich,Gordon Primary School,32.8,Community School,Primary
1128,Greenwich,Thorntree Primary School,32.7,Community School,Primary
1106,Greenwich,Gallions Mount Primary School,32.6,Community School,Primary
1105,Greenwich,Heronsgate Primary School,32.6,Community School,Primary
1083,Greenwich,Greenslade Primary School,32.5,Community School,Primary
1082,Greenwich,Waterside School,32.5,Community Special School,Not applicable
1046,Greenwich,St Mary's Catholic Primary School,32.3,Voluntary Aided School,Primary
1018,Greenwich,Wyborne Primary School,32.2,Community School,Primary
1017,Greenwich,Plumstead Manor School,32.2,Community School,Secondary
968,Greenwich,Eglinton Primary School,32,Community School,Primary
931,Greenwich,St Margaret's Church of England Primary School,31.8,Voluntary Aided School,Primary
930,Greenwich,Stationers Crown Woods Academy,31.8,Academy Converter,Secondary
914,Greenwich,Corelli College,31.7,Academy Converter,Secondary
887,Greenwich,Full Circle Education,31.5,Other Independent School,Not applicable
850,Greenwich,Abbey Wood Nursery School,31.3,LA Nursery School,Nursery
849,Greenwich,Plumcroft Primary School,31.3,Community School,Primary
829,Greenwich,Discovery Primary School,31.2,Community School,Primary
809,Greenwich,Rockliffe Manor Primary School,31.1,Community School,Primary
808,Greenwich,Shooters Hill Post-16 Campus,31.1,Academy 16-19 Converter,16 Plus
770,Greenwich,Deansfield Primary School,30.9,Community School,Primary
731,Greenwich,Timbercroft Primary School,30.7,Community School,Primary
683,Greenwich,Boxgrove Primary School,30.5,Community School,Primary
660,Greenwich,Windrush Primary School,30.4,Community School,Primary
659,Greenwich,Schoolhouse Education,30.4,Other Independent School,Not applicable
615,Greenwich,De Lucy Primary School,30.2,Community School,Primary
595,Greenwich,Montbelle Primary School,30.1,Community School,Primary
594,Greenwich,St Margaret Clitherow Catholic Primary School,30.1,Voluntary Aided School,Primary
564,Greenwich,Greenacres Primary School and Language Impairment Unit,29.9,Community School,Primary
563,Greenwich,Bishop John Robinson Church of England Primary School,29.9,Voluntary Aided School,Primary
562,Greenwich,Alexander McLeod Primary School,29.9,Community School,Primary
539,Greenwich,Alderwood Primary School,29.8,Community School,Primary
521,Greenwich,Hawksmoor School,29.7,Foundation School,Primary
505,Greenwich,St Thomas A Becket Roman Catholic Primary School,29.6,Voluntary Aided School,Primary
504,Greenwich,Woolwich Polytechnic School,29.6,Academy Converter,Secondary
459,Greenwich,St Paul's Academy,29.4,Academy Sponsor Led,Secondary
445,Greenwich,Willow Dene School,29.3,Community Special School,Not applicable
3136,Hackney,Inspired Directions School,50.4,Other Independent Special School,Not applicable
3118,Hackney,De Beauvoir Primary School,49.7,Community School,Primary
3070,Hackney,Ickburgh School,48.1,Community Special School,Not applicable
3059,Hackney,Cardinal Pole Roman Catholic School,47.8,Voluntary Aided School,Secondary
3005,Hackney,The Urswick School - A Church of England Secondary School,46.7,Voluntary Aided School,Secondary
2992,Hackney,The Boxing Academy,46.4,Other Independent School,Not applicable
2985,Hackney,St John and St James CofE Primary School,46.2,Voluntary Aided School,Primary
2947,Hackney,William Patten Primary School,45.2,Community School,Primary
2946,Hackney,Hackney New Primary School,45.2,Free Schools,Primary
2936,Hackney,Colvestone Primary School,45.1,Community School,Primary
2935,Hackney,Beis Ruchel D'Satmar London,45.1,Other Independent School,Not applicable
2934,Hackney,Hackney New School,45.1,Free Schools,Secondary
2916,Hackney,Orchard Primary School,44.9,Community School,Primary
2894,Hackney,Morningside Primary School,44.6,Community School,Primary
2855,Hackney,Mossbourne Riverside Academy,44.1,Academy Sponsor Led,Primary
2854,Hackney,Mossbourne Parkside Academy,44.1,Academy Converter,Primary
2842,Hackney,St John the Baptist Voluntary Aided Church of England Primary School,43.9,Voluntary Aided School,Primary
2834,Hackney,"The City Academy, Hackney",43.8,Academy Sponsor Led,Secondary
2825,Hackney,The Brooke House Sixth Form College,43.7,Further Education,16 Plus
2813,Hackney,The Lyceum,43.5,Other Independent School,Not applicable
2812,Hackney,St. Dominic's Catholic Primary School,43.5,Voluntary Aided School,Primary
2811,Hackney,Lubavitch Ruth Lunzer Girls Primary School,43.5,Voluntary Aided School,Primary
2810,Hackney,Lubavitch House School (Senior Girls),43.5,Voluntary Aided School,Secondary
2801,Hackney,Beis Chinuch Lebonos Girls School,43.4,Other Independent School,Not applicable
2786,Hackney,"Tawhid Boys School, Tawhid Educational Trust",43.2,Other Independent School,Not applicable
2775,Hackney,Wiznitz Cheder School,43.1,Other Independent School,Not applicable
2743,Hackney,Hackney City Farm,42.6,Other Independent School,Not applicable
2728,Hackney,St Monica's Roman Catholic Primary School,42.3,Voluntary Aided School,Primary
2719,Hackney,Getters Talmud Torah,42.2,Other Independent School,Not applicable
2691,Hackney,Holy Trinity Church of England Primary School,41.9,Voluntary Aided School,Primary
2682,Hackney,Rosemary Works School,41.8,Other Independent School,Not applicable
2660,Hackney,Berger Primary School,41.6,Community School,Primary
2646,Hackney,The Bridge Academy,41.5,Academy Sponsor Led,Secondary
2636,Hackney,Woodberry Down Community Primary School,41.4,Community School,Primary
2635,Hackney,St John of Jerusalem Church of England Primary School,41.4,Voluntary Aided School,Primary
2622,Hackney,Wentworth Nursery School and Children's Centre,41.3,LA Nursery School,Nursery
2611,Hackney,Comet Nursery School and Children's Centre,41.2,LA Nursery School,Nursery
2610,Hackney,Randal Cremer Primary School,41.2,Community School,Primary
2609,Hackney,Baden-Powell School,41.2,Community School,Primary
2608,Hackney,Hoxton Garden Primary,41.2,Community School,Primary
2595,Hackney,Hackney Community College,41.1,Further Education,16 Plus
2594,Hackney,Lubavitch Junior Boys,41.1,Voluntary Aided School,Primary
2586,Hackney,London Fields Primary School,41,Community School,Primary
2567,Hackney,"St Mary's Church of England Primary School, Stoke Newington",40.8,Voluntary Aided School,Primary
2554,Hackney,Thomas Fairchild Community School,40.7,Community School,Primary
2515,Hackney,Queensbridge Primary School,40.4,Community School,Primary
2442,Hackney,Lauriston School,39.9,Community School,Primary
2441,Hackney,Our Lady and St Joseph Roman Catholic Primary School,39.9,Voluntary Aided School,Primary
2440,Hackney,Yesodey Hatorah School,39.9,Other Independent School,Not applicable
2404,Hackney,Halley House School,39.6,Free Schools,Primary
2384,Hackney,Haggerston School,39.5,Community School,Secondary
2355,Hackney,Bnois Jerusalem Girls School,39.3,Other Independent School,Not applicable
2354,Hackney,The Petchey Academy,39.3,Academy Sponsor Led,Secondary
